Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,ville,tmp,wnd_spd,wnd_gust,wnd_dir,pressure,humidity,condition,Correction
20027,Porte de Ménilmontant,OUI,15,9,6,0,6,OUI,OUI,2022-09-29 04:42:18,"48.8691543609174,2.40932246879487",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18039,Jardins d'Eole,OUI,20,4,16,8,8,OUI,OUI,2022-09-29 04:42:18,"48.8869703,2.3668488",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15046,Parc Georges Brassens - Brancion,OUI,29,0,29,22,7,OUI,OUI,2022-09-29 04:42:18,"48.83227829269761,2.3022570088505745",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18110,Departement - Pajol,OUI,19,2,14,8,6,OUI,OUI,2022-09-29 04:42:18,"48.886674849730184,2.3613611608743668",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
14026,Plantes - Moulin Vert,OUI,45,4,41,20,21,OUI,OUI,2022-09-29 04:42:18,"48.83005755305626,2.3232302069664006",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
10107,Gare du Nord - Hôpital Lariboisière,OUI,49,35,12,3,9,OUI,OUI,2022-09-29 04:42:17,"48.881949,2.352339",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
10015,Lucien Sampaix - Récollets,OUI,46,38,5,5,0,OUI,OUI,2022-09-29 04:42:16,"48.874330377560476,2.3621229082345963",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17003,Jacques Kellner - Saint-Ouen,OUI,45,25,18,7,11,OUI,OUI,2022-09-29 04:42:16,"48.895809485802886,2.327897409164145",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19120,Carducci - Place Hannah Arendt,OUI,27,9,17,2,15,OUI,OUI,2022-09-29 04:42:15,"48.877436681515796,2.3860743641853337",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
8051,Batignolles - Rome,OUI,15,14,0,0,0,OUI,OUI,2022-09-29 04:42:15,"48.881823370566806,2.3202589899301524",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18022,Marcadet - Barbès,OUI,37,5,27,24,3,OUI,OUI,2022-09-29 04:42:15,"48.89045112096476,2.349057392968696",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
6030,Assas - Vaugirard,OUI,35,34,1,0,1,OUI,OUI,2022-09-29 04:42:15,"48.848274111398,2.3292413726449",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18014,Léon - Doudeauville,OUI,13,0,13,4,9,OUI,OUI,2022-09-29 04:42:15,"48.88832421845225,2.353573372638597",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
7017,La Motte-Picquet - La Tour Maubourg,OUI,40,6,33,33,0,OUI,OUI,2022-09-29 04:42:15,"48.8572316,2.3094136",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
8101,Londres - Amsterdam,OUI,23,21,1,1,0,OUI,OUI,2022-09-29 04:42:14,"48.878034461503965,2.326483540969424",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
10161,Gare de l'Est - Faubourg-Saint-Martin,OUI,32,27,4,2,2,OUI,OUI,2022-09-29 04:42:14,"48.875642647477,2.3594588041306",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17013,Legendre - Dulong,OUI,23,9,12,10,2,OUI,OUI,2022-09-29 04:42:13,"48.885325169402904,2.316423766314984",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
